seqnames,start,end,width,strand,pileup_macs2,score_ChIPSP,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,symbol,pileup,score,Rank
chr7,30830000,30840000,10001,*,80.25,0.353426838,100526825,30791751,30932002,+,inside,38249,38249,Overlapping,INMT-MINDY4,10.66,-0.001189957,16
chr7,30830000,30840000,10001,*,80.25,0.353426838,100526825,30791751,30932002,+,inside,38249,38249,Overlapping,INMT-MINDY4,80.25,0.353426838,16
chr6,35650000,35655000,5001,*,84.64,0.330009503,2289,35541362,35696397,-,inside,46397,41397,Overlapping,FKBP5,84.64,0.330009503,17
chr6,35650000,35655000,5001,*,84.64,0.330009503,2289,35541362,35696397,-,inside,46397,41397,Overlapping,FKBP5,55.8,0.1830466,17
chr6,35650000,35655000,5001,*,84.64,0.330009503,100847048,35632494,35632566,-,upstream,-17434,17434,NearestLocation,MIR5690,84.64,0.330009503,17
chr6,35650000,35655000,5001,*,84.64,0.330009503,100847048,35632494,35632566,-,upstream,-17434,17434,NearestLocation,MIR5690,55.8,0.1830466,17
chrX,48900000,48925000,25001,*,79.62,0.324210827,7030,48886242,48900990,-,overlapStart,990,990,NearestLocation,TFE3,79.62,0.324210827,18
chrX,48900000,48925000,25001,*,79.62,0.324210827,90060,48910961,48927510,+,overlapStart,-10961,2510,Overlapping,CCDC120,79.62,0.324210827,18
chr15,60880000,60885000,5001,*,73.35,0.321993833,79664,60711808,60771359,-,upstream,-108641,108641,NearestLocation,ICE2,73.35,0.321993833,19
chr15,60880000,60885000,5001,*,73.35,0.321993833,6095,60780483,61521502,-,inside,641502,99517,Overlapping,RORA,73.35,0.321993833,19
chr17,76170000,76175000,5001,*,117.24,0.304416655,9144,76164671,76169009,+,downstream,5329,991,NearestLocation,SYNGR2,117.24,0.304416655,20
chr17,76170000,76175000,5001,*,117.24,0.304416655,7083,76170160,76183285,-,overlapEnd,13285,160,Overlapping,TK1,117.24,0.304416655,20
chr9,72955000,72960000,5001,*,67.71,0.293682488,687,72999513,73029573,-,downstream,74573,39513,NearestLocation,KLF9,67.71,0.293682488,21
chr9,72955000,72960000,5001,*,67.71,0.293682488,23137,72873878,72969789,+,inside,81122,9789,Overlapping,SMC5,67.71,0.293682488,21
chr9,73025000,73030000,5001,*,67.71,0.290115831,687,72999513,73029573,-,overlapStart,4573,427,NearestLocation,KLF9,67.71,0.290115831,22
chr9,72950000,72960000,10001,*,67.71,0.283575478,23137,72873878,72969789,+,inside,76122,9789,NearestLocation,SMC5,67.71,0.283575478,23
chr4,20420000,20425000,5001,*,65.2,0.281054365,9353,20255235,20620788,+,inside,164765,164765,Overlapping,SLIT2,65.2,0.281054365,24
chr4,20420000,20425000,5001,*,65.2,0.281054365,100505893,20393812,20396479,+,downstream,26188,23521,NearestLocation,SLIT2-IT1,65.2,0.281054365,24
chr4,20545000,20550000,5001,*,65.2,0.279816594,9353,20255235,20620788,+,inside,289765,70788,Overlapping,SLIT2,65.2,0.279816594,25
chr4,20545000,20550000,5001,*,65.2,0.279816594,407000,20529898,20530007,+,downstream,15102,14993,NearestLocation,MIR218-1,65.2,0.279816594,25
chr19,3325000,3330000,5001,*,68.34,0.279237205,4782,3359561,3469215,+,upstream,-34561,29561,NearestLocation,NFIC,68.34,0.279237205,26
chr4,20420000,20430000,10001,*,65.2,0.277644175,100505893,20393812,20396479,+,downstream,26188,23521,NearestLocation,SLIT2-IT1,13.17,0.012509646,27
chr4,20420000,20430000,10001,*,65.2,0.277644175,100505893,20393812,20396479,+,downstream,26188,23521,NearestLocation,SLIT2-IT1,65.2,0.277644175,27
chr4,20420000,20430000,10001,*,65.2,0.277644175,9353,20255235,20620788,+,inside,164765,164765,Overlapping,SLIT2,13.17,0.012509646,27
chr4,20420000,20430000,10001,*,65.2,0.277644175,9353,20255235,20620788,+,inside,164765,164765,Overlapping,SLIT2,65.2,0.277644175,27
chr12,116080000,116090000,10001,*,94.04,0.273348726,693205,116586365,116586459,-,downstream,506459,496365,NearestLocation,MIR620,94.04,0.273348726,28
chr8,133850000,133875000,25001,*,97.81,0.268864481,7038,133879205,134147143,+,upstream,-29205,4205,NearestLocation,TG,97.81,0.268864481,29
chr8,133850000,133875000,25001,*,97.81,0.268864481,51105,133787604,133861052,+,overlapEnd,62396,11052,Overlapping,PHF20L1,97.81,0.268864481,29
chr1,180830000,180840000,10001,*,62.07,0.265100081,57710,180882313,180919922,+,upstream,-52313,42313,NearestLocation,KIAA1614,62.07,0.265100081,30
chr1,180830000,180840000,10001,*,62.07,0.265100081,57710,180882313,180919922,+,upstream,-52313,42313,NearestLocation,KIAA1614,13.79,0.019074806,30
chr1,180830000,180840000,10001,*,62.07,0.265100081,9213,180601146,180859415,+,inside,228854,19415,Overlapping,XPR1,62.07,0.265100081,30
chr1,180830000,180840000,10001,*,62.07,0.265100081,9213,180601146,180859415,+,inside,228854,19415,Overlapping,XPR1,13.79,0.019074806,30
chr15,62120000,62125000,5001,*,78.37,0.254279598,54832,62144590,62352664,-,downstream,232664,19590,NearestLocation,VPS13C,78.37,0.254279598,31
chr15,93240000,93250000,10001,*,63.32,0.25393512,400451,93160679,93277304,-,inside,37304,27304,NearestLocation,FAM174B,63.32,0.25393512,32
chr5,76730000,76735000,5001,*,65.83,0.252052577,55255,76728069,76788332,-,inside,58332,1931,NearestLocation,WDR41,65.83,0.252052577,33
chr4,20540000,20550000,10001,*,65.2,0.248963557,9353,20255235,20620788,+,inside,284765,70788,Overlapping,SLIT2,65.2,0.248963557,34
chr4,20540000,20550000,10001,*,65.2,0.248963557,9353,20255235,20620788,+,inside,284765,70788,Overlapping,SLIT2,13.17,-0.016170972,34
chr4,20540000,20550000,10001,*,65.2,0.248963557,407000,20529898,20530007,+,downstream,10102,9993,NearestLocation,MIR218-1,65.2,0.248963557,34
chr4,20540000,20550000,10001,*,65.2,0.248963557,407000,20529898,20530007,+,downstream,10102,9993,NearestLocation,MIR218-1,13.17,-0.016170972,34
chr14,77340000,77350000,10001,*,58.31,0.245041466,145497,77292725,77336645,+,downstream,47275,3355,NearestLocation,LRRC74A,58.31,0.245041466,35
chr15,72040000,72045000,5001,*,60.19,0.239072208,79875,71433788,72075722,+,inside,606212,30722,Overlapping,THSD4,60.19,0.239072208,36
chr15,72040000,72045000,5001,*,60.19,0.239072208,10002,72102894,72110597,+,upstream,-62894,57894,NearestLocation,NR2E3,60.19,0.239072208,36
chr2,7050000,7060000,10001,*,57.68,0.237469815,386597,7052407,7058813,-,includeFeature,8813,1187,Overlapping,GRASLND,57.68,0.237469815,37
chr2,7050000,7060000,10001,*,57.68,0.237469815,9781,7057523,7184309,+,overlapStart,-7523,2477,NearestLocation,RNF144A,57.68,0.237469815,37
chr3,102240000,102250000,10001,*,56.43,0.235434008,131368,101818088,102198685,+,downstream,421912,41315,NearestLocation,ZPLD1,56.43,0.235434008,38
chr3,189145000,189150000,5001,*,79.62,0.234800065,100874027,188956475,188958383,-,upstream,-186617,186617,NearestLocation,TPRG1-AS2,79.62,0.234800065,39
chr5,167840000,167850000,10001,*,57.05,0.23307401,5917,167913463,167946309,+,upstream,-73463,63463,NearestLocation,RARS1,57.05,0.23307401,40
chr5,167840000,167850000,10001,*,57.05,0.23307401,23286,167719065,167899308,+,inside,120935,49308,Overlapping,WWC1,57.05,0.23307401,40
chr3,188675000,188680000,5001,*,55.8,0.232782589,285386,188665003,189041271,+,inside,9997,9997,NearestLocation,TPRG1,55.8,0.232782589,41
chr3,188670000,188680000,10001,*,55.8,0.231260424,285386,188665003,189041271,+,inside,4997,4997,NearestLocation,TPRG1,55.8,0.231260424,42
chr3,188670000,188680000,10001,*,55.8,0.231260424,285386,188665003,189041271,+,inside,4997,4997,NearestLocation,TPRG1,32.6,0.056463543,42
chr3,188670000,188680000,10001,*,55.8,0.231260424,285386,188665003,189041271,+,inside,4997,4997,NearestLocation,TPRG1,12.54,-0.045758226,42
chr3,188670000,188680000,10001,*,55.8,0.231260424,285386,188665003,189041271,+,inside,4997,4997,NearestLocation,TPRG1,15.05,-0.032967765,42
chr2,223560000,223565000,5001,*,67.08,0.230643538,116255,223536457,223574649,+,inside,23543,9649,NearestLocation,MOGAT1,67.08,0.230643538,43
chr6,134490000,134500000,10001,*,58.31,0.229289914,6446,134490384,134639196,-,overlapEnd,149196,384,Overlapping,SGK1,58.31,0.229289914,44
chr6,134490000,134500000,10001,*,58.31,0.229289914,387065,134435111,134438818,-,upstream,-51182,51182,NearestLocation,HMGA1P7,58.31,0.229289914,44
chr22,45970000,45980000,10001,*,55.17,0.227291886,2192,45898719,45997014,+,inside,71281,17014,NearestLocation,FBLN1,55.17,0.227291886,45
chr5,59885000,59890000,5001,*,53.92,0.223528292,5144,58264866,59783925,-,upstream,-101075,101075,NearestLocation,PDE4D,53.92,0.223528292,46
chr12,1905000,1910000,5001,*,53.92,0.223376233,654429,1929433,1945918,+,upstream,-24433,19433,NearestLocation,LRTM2,53.92,0.223376233,47
chr12,1905000,1910000,5001,*,53.92,0.223376233,654429,1929433,1945918,+,upstream,-24433,19433,NearestLocation,LRTM2,21.32,0.057253119,47
chr12,1905000,1910000,5001,*,53.92,0.223376233,93589,1901123,2027870,-,inside,122870,3877,Overlapping,CACNA2D4,53.92,0.223376233,47
chr12,1905000,1910000,5001,*,53.92,0.223376233,93589,1901123,2027870,-,inside,122870,3877,Overlapping,CACNA2D4,21.32,0.057253119,47
chr1,110090000,110095000,5001,*,61.44,0.214057594,2773,110091186,110138454,+,overlapStart,-1186,1186,NearestLocation,GNAI3,61.44,0.214057594,48
chr9,35120000,35125000,5001,*,58.93,0.213846104,80256,35104118,35115893,-,upstream,-4107,4107,NearestLocation,ATOSB,58.93,0.213846104,49
chr22,46030000,46040000,10001,*,55.17,0.210349797,25814,46067678,46241187,+,upstream,-37678,27678,NearestLocation,ATXN10,55.17,0.210349797,50
chr12,1910000,1920000,10001,*,53.92,0.208176208,654429,1929433,1945918,+,upstream,-19433,9433,NearestLocation,LRTM2,53.92,0.208176208,51
chr12,1910000,1920000,10001,*,53.92,0.208176208,654429,1929433,1945918,+,upstream,-19433,9433,NearestLocation,LRTM2,21.32,0.042053093,51
chr12,1910000,1920000,10001,*,53.92,0.208176208,93589,1901123,2027870,-,inside,117870,8877,Overlapping,CACNA2D4,53.92,0.208176208,51
chr12,1910000,1920000,10001,*,53.92,0.208176208,93589,1901123,2027870,-,inside,117870,8877,Overlapping,CACNA2D4,21.32,0.042053093,51
chr17,46750000,46755000,5001,*,49.53,0.200741263,406972,46709852,46709921,-,upstream,-40079,40079,NearestLocation,MIR196A1,49.53,0.200741263,52
chr3,65390000,65400000,10001,*,49.53,0.200220707,100873983,65879491,65910972,+,upstream,-489491,479491,NearestLocation,MAGI1-AS1,49.53,0.200220707,53
chr3,65390000,65400000,10001,*,49.53,0.200220707,9223,65339906,66024509,-,inside,634509,50094,Overlapping,MAGI1,49.53,0.200220707,53
chr3,193290000,193300000,10001,*,49.53,0.200102726,84239,193119866,193272696,-,upstream,-17304,17304,NearestLocation,ATP13A4,49.53,0.200102726,54
chr17,46750000,46760000,10001,*,49.53,0.19803883,406972,46709852,46709921,-,upstream,-40079,40079,NearestLocation,MIR196A1,49.53,0.19803883,55
chr1,229600000,229610000,10001,*,52.04,0.192169961,55746,229577044,229644088,-,inside,44088,22956,Overlapping,NUP133,52.04,0.192169961,56
chr1,229600000,229610000,10001,*,52.04,0.192169961,55746,229577044,229644088,-,inside,44088,22956,Overlapping,NUP133,16.3,0.010046031,56
chr1,229600000,229610000,10001,*,52.04,0.192169961,58,229566993,229569843,-,upstream,-30157,30157,NearestLocation,ACTA1,52.04,0.192169961,56
chr1,229600000,229610000,10001,*,52.04,0.192169961,58,229566993,229569843,-,upstream,-30157,30157,NearestLocation,ACTA1,16.3,0.010046031,56
chr17,46880000,46885000,5001,*,49.53,0.191551485,284076,46839593,46894469,-,inside,14469,9469,NearestLocation,TTLL6,49.53,0.191551485,57
chr3,65720000,65730000,10001,*,49.53,0.190736158,9223,65339906,66024509,-,inside,304509,294509,Overlapping,MAGI1,49.53,0.190736158,58
chr3,65720000,65730000,10001,*,49.53,0.190736158,100873983,65879491,65910972,+,upstream,-159491,149491,NearestLocation,MAGI1-AS1,49.53,0.190736158,58
chr15,77930000,77940000,10001,*,48.28,0.188876051,253044,77934106,77941581,+,overlapStart,-4106,1581,NearestLocation,LINGO1-AS1,48.28,0.188876051,59
chr15,77930000,77940000,10001,*,48.28,0.188876051,84894,77905369,77988475,-,inside,58475,24631,Overlapping,LINGO1,48.28,0.188876051,59
chr15,70800000,70805000,5001,*,50.78,0.187175438,55075,70946893,71055850,-,downstream,255850,141893,NearestLocation,UACA,50.78,0.187175438,60
chr1,180825000,180850000,25001,*,62.07,0.186233096,9213,180601146,180859415,+,inside,223854,9415,Overlapping,XPR1,62.07,0.186233096,61
chr1,180825000,180850000,25001,*,62.07,0.186233096,9213,180601146,180859415,+,inside,223854,9415,Overlapping,XPR1,13.79,-0.059792179,61
chr1,180825000,180850000,25001,*,62.07,0.186233096,57710,180882313,180919922,+,upstream,-57313,32313,NearestLocation,KIAA1614,62.07,0.186233096,61
chr1,180825000,180850000,25001,*,62.07,0.186233096,57710,180882313,180919922,+,upstream,-57313,32313,NearestLocation,KIAA1614,13.79,-0.059792179,61
chr6,35650000,35655000,5001,*,55.8,0.1830466,2289,35541362,35696397,-,inside,46397,41397,Overlapping,FKBP5,84.64,0.330009503,62
chr6,35650000,35655000,5001,*,55.8,0.1830466,2289,35541362,35696397,-,inside,46397,41397,Overlapping,FKBP5,55.8,0.1830466,62
chr6,35650000,35655000,5001,*,55.8,0.1830466,100847048,35632494,35632566,-,upstream,-17434,17434,NearestLocation,MIR5690,84.64,0.330009503,62
chr6,35650000,35655000,5001,*,55.8,0.1830466,100847048,35632494,35632566,-,upstream,-17434,17434,NearestLocation,MIR5690,55.8,0.1830466,62
chr3,188490000,188500000,10001,*,55.8,0.183035748,4026,187871663,188608460,+,inside,618337,108460,Overlapping,LPP,55.8,0.183035748,63
chr3,188490000,188500000,10001,*,55.8,0.183035748,285386,188665003,189041271,+,upstream,-175003,165003,NearestLocation,TPRG1,55.8,0.183035748,63
chr5,38430000,38435000,5001,*,47.65,0.182178881,133584,38258511,38465582,+,inside,171489,30582,Overlapping,EGFLAM,47.65,0.182178881,64
chr5,38430000,38435000,5001,*,47.65,0.182178881,100506475,38399916,38403573,-,upstream,-26427,26427,NearestLocation,EGFLAM-AS2,47.65,0.182178881,64
chr11,27200000,27210000,10001,*,45.77,0.182082077,8424,27062509,27149354,+,downstream,137491,50646,NearestLocation,BBOX1,45.77,0.182082077,65
chr15,91495000,91500000,5001,*,60.19,0.178799662,55898,91473410,91497323,+,overlapEnd,21590,2323,Overlapping,UNC45A,60.19,0.178799662,66
chr15,91495000,91500000,5001,*,60.19,0.178799662,91433,91498106,91506355,+,overlapStart,-3106,1894,NearestLocation,RCCD1,60.19,0.178799662,66
chr8,49830000,49835000,5001,*,62.07,0.177744342,6591,49830239,49833999,-,includeFeature,3999,239,NearestLocation,SNAI2,62.07,0.177744342,67
chr5,118745000,118750000,5001,*,65.83,0.177430154,3295,118788138,118878030,+,upstream,-43138,38138,NearestLocation,HSD17B4,65.83,0.177430154,68
chr5,118745000,118750000,5001,*,65.83,0.177430154,3295,118788138,118878030,+,upstream,-43138,38138,NearestLocation,HSD17B4,15.05,-0.081334624,68
chr3,65325000,65330000,5001,*,49.53,0.176919632,100873983,65879491,65910972,+,upstream,-554491,549491,NearestLocation,MAGI1-AS1,49.53,0.176919632,69
chr9,73090000,73095000,5001,*,45.14,0.175103601,687,72999513,73029573,-,upstream,-60427,60427,NearestLocation,KLF9,45.14,0.175103601,70
chr9,112820000,112825000,5001,*,48.28,0.174351834,11217,112810878,112934791,+,inside,9122,9122,NearestLocation,NA,48.28,0.174351834,71
chr9,112820000,112825000,5001,*,48.28,0.174351834,445815,112542577,112934791,+,inside,277423,109791,Overlapping,PALM2AKAP2,48.28,0.174351834,71
chr5,17150000,17175000,25001,*,71.47,0.172602015,10409,17216932,17276954,+,upstream,-66932,41932,NearestLocation,BASP1,71.47,0.172602015,72
chr5,17150000,17175000,25001,*,71.47,0.172602015,285696,17130137,17217531,-,inside,67531,19863,Overlapping,BASP1-AS1,71.47,0.172602015,72
chr3,128310000,128320000,10001,*,45.77,0.164496514,23434,128290843,128294929,-,upstream,-15071,15071,NearestLocation,LINC01565,45.77,0.164496514,73
chr15,70385000,70390000,5001,*,50.78,0.164453007,7090,70340543,70390256,-,inside,5256,256,NearestLocation,TLE3,50.78,0.164453007,74
chr8,27175000,27180000,5001,*,55.8,0.16289876,2185,27168999,27316908,+,inside,6001,6001,NearestLocation,PTK2B,55.8,0.16289876,75
chr8,23445000,23450000,5001,*,42.01,0.162723813,51312,23386363,23430063,+,downstream,58637,14937,NearestLocation,SLC25A37,42.01,0.162723813,76
chr3,156390000,156395000,5001,*,42.01,0.161845177,100287227,156390960,156393502,-,includeFeature,3502,960,Overlapping,TIPARP-AS1,42.01,0.161845177,77
chr3,156390000,156395000,5001,*,42.01,0.161845177,25976,156392205,156424557,+,overlapStart,-2205,2205,NearestLocation,TIPARP,42.01,0.161845177,77
chr20,58525000,58530000,5001,*,42.63,0.161104711,60437,58533471,58608829,+,upstream,-8471,3471,NearestLocation,CDH26,42.63,0.161104711,78
chr9,27335000,27340000,5001,*,41.38,0.15974027,54586,27284654,27297137,-,upstream,-37863,37863,NearestLocation,EQTN,41.38,0.15974027,79
chr9,27335000,27340000,5001,*,41.38,0.15974027,79817,27325207,27529850,-,inside,194850,9793,Overlapping,MOB3B,41.38,0.15974027,79
chr8,48430000,48440000,10001,*,89.65,0.159658393,23514,48173489,48678652,+,inside,256511,238652,Overlapping,SPIDR,89.65,0.159658393,80
chr8,48430000,48440000,10001,*,89.65,0.159658393,1052,48649476,48650726,-,downstream,220726,209476,NearestLocation,CEBPD,89.65,0.159658393,80
chrX,18940000,18950000,10001,*,45.77,0.158543985,5256,18910416,19002480,-,inside,62480,29584,Overlapping,PHKA2,13.17,-0.00757913,81
chrX,18940000,18950000,10001,*,45.77,0.158543985,5256,18910416,19002480,-,inside,62480,29584,Overlapping,PHKA2,45.77,0.158543985,81
chrX,18940000,18950000,10001,*,45.77,0.158543985,100132163,18908414,18913093,+,downstream,31586,26907,NearestLocation,PHKA2-AS1,13.17,-0.00757913,81
chrX,18940000,18950000,10001,*,45.77,0.158543985,100132163,18908414,18913093,+,downstream,31586,26907,NearestLocation,PHKA2-AS1,45.77,0.158543985,81
chr9,27330000,27340000,10001,*,41.38,0.156765756,79817,27325207,27529850,-,inside,199850,4793,Overlapping,MOB3B,41.38,0.156765756,82
chr9,27330000,27340000,10001,*,41.38,0.156765756,54586,27284654,27297137,-,upstream,-32863,32863,NearestLocation,EQTN,41.38,0.156765756,82
chr3,135790000,135800000,10001,*,41.38,0.155507692,5523,135684515,135866752,+,inside,105485,66752,NearestLocation,PPP2R3A,41.38,0.155507692,83
chr7,25600000,25610000,10001,*,42.01,0.155300859,100873753,25880601,25880630,-,downstream,280630,270601,NearestLocation,RNU6-16P,42.01,0.155300859,84
chr2,85770000,85775000,5001,*,40.13,0.153313844,4144,85766101,85772403,+,overlapEnd,3899,2403,NearestLocation,MAT2A,40.13,0.153313844,85
chr2,85770000,85775000,5001,*,40.13,0.153313844,2677,85771978,85788657,-,overlapEnd,18657,1978,Overlapping,GGCX,40.13,0.153313844,85
chr12,54590000,54595000,5001,*,40.13,0.153312249,23583,54574142,54582778,-,upstream,-7222,7222,NearestLocation,SMUG1,40.13,0.153312249,86
chr11,63240000,63245000,5001,*,40.13,0.153048873,117245,63228876,63258680,-,inside,18680,11124,NearestLocation,PLAAT5,40.13,0.153048873,87
chr18,13820000,13825000,5001,*,40.13,0.152896984,4161,13825543,13826861,+,upstream,-5543,543,NearestLocation,MC5R,40.13,0.152896984,88
chr12,54590000,54600000,10001,*,40.13,0.152833947,23583,54574142,54582778,-,upstream,-7222,7222,NearestLocation,SMUG1,40.13,0.152833947,89
chr4,174090000,174100000,10001,*,43.26,0.15148511,51809,174089904,174245118,+,inside,96,96,NearestLocation,GALNT7,43.26,0.15148511,90
chr3,135790000,135795000,5001,*,41.38,0.151010079,5523,135684515,135866752,+,inside,105485,71752,NearestLocation,PPP2R3A,41.38,0.151010079,91
chr18,13820000,13830000,10001,*,40.13,0.150975533,4161,13825543,13826861,+,includeFeature,-5543,3139,NearestLocation,MC5R,40.13,0.150975533,92
chr7,77390000,77400000,10001,*,46.39,0.148240347,222194,77325743,77409120,+,inside,64257,9120,Overlapping,RSBN1L,46.39,0.148240347,93
chr7,77390000,77400000,10001,*,46.39,0.148240347,85025,77423045,77427747,-,downstream,37747,23045,NearestLocation,TMEM60,46.39,0.148240347,93
chr12,124100000,124125000,25001,*,65.2,0.146376175,1967,124105570,124118323,-,includeFeature,18323,5570,Overlapping,EIF2B1,65.2,0.146376175,94
chr12,124100000,124125000,25001,*,65.2,0.146376175,2967,124118286,124147151,+,overlapStart,-18286,6714,Overlapping,GTF2H3,65.2,0.146376175,94
chr12,124100000,124125000,25001,*,65.2,0.146376175,57696,124086672,124105482,+,overlapEnd,13328,5482,NearestLocation,DDX55,65.2,0.146376175,94
chr11,63240000,63250000,10001,*,40.13,0.146091515,117245,63228876,63258680,-,inside,18680,8680,NearestLocation,PLAAT5,40.13,0.146091515,95
chr7,25880000,25890000,10001,*,42.01,0.143985014,100873753,25880601,25880630,-,includeFeature,630,601,NearestLocation,RNU6-16P,42.01,0.143985014,96
chr3,101950000,101960000,10001,*,38.24,0.142741387,131368,101818088,102198685,+,inside,131912,131912,NearestLocation,ZPLD1,38.24,0.142741387,97
chr3,192750000,192760000,10001,*,49.53,0.142735455,151963,192514605,192635950,-,upstream,-114050,114050,NearestLocation,MB21D2,49.53,0.142735455,98
chr2,85770000,85780000,10001,*,40.13,0.140331368,2677,85771978,85788657,-,overlapEnd,18657,1978,Overlapping,GGCX,40.13,0.140331368,99
chr2,85770000,85780000,10001,*,40.13,0.140331368,4144,85766101,85772403,+,overlapEnd,3899,2403,NearestLocation,MAT2A,40.13,0.140331368,99
chr14,65885000,65890000,5001,*,39.5,0.139264574,2530,65877310,66210839,+,inside,7690,7690,Overlapping,FUT8,39.5,0.139264574,100
chr14,65885000,65890000,5001,*,39.5,0.139264574,645431,65877311,65879335,-,upstream,-5665,5665,NearestLocation,FUT8-AS1,39.5,0.139264574,100
chr5,76780000,76785000,5001,*,65.83,0.138030311,55255,76728069,76788332,-,inside,8332,3332,NearestLocation,WDR41,65.83,0.138030311,101
chr5,134795000,134800000,5001,*,36.99,0.136925922,497189,134784558,134788089,-,upstream,-6911,6911,NearestLocation,TIFAB,36.99,0.136925922,102
chr4,75000000,75010000,10001,*,37.62,0.134060806,441024,74979896,75168814,+,inside,20104,20104,NearestLocation,MTHFD2L,37.62,0.134060806,103
chr20,1945000,1950000,5001,*,37.62,0.131745496,5173,1959402,1974931,-,downstream,29931,9402,NearestLocation,PDYN,37.62,0.131745496,104
chr11,130730000,130735000,5001,*,35.74,0.131011073,399979,130745766,130786382,-,downstream,56382,10766,NearestLocation,SNX19,35.74,0.131011073,105
chr8,131140000,131145000,5001,*,35.74,0.13037314,100507117,131094984,131097014,-,upstream,-42986,42986,NearestLocation,ASAP1-IT2,35.74,0.13037314,106
